0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
FLIR,1.5579,1.6496,1.6762,1.7489,2.0298,1.9702,1.6488,1.9326,1.5551,1.1241,1.3747,1.6042,1.4437,1.1218,1.501,1.4792,1.9847,1.5994,1.5492,1.5591,1.6803,1.5432,1.6066,1.6257
FLT,1.7317,1.6992,1.7004,1.7462,1.8294,1.7408,1.5205,1.8028,0.9544,0.7051,0.5085,1.7332,0.6294,0.7012,0.9186,0.9487,1.8609,0.9273,0.9226,0.8959,0.938,0.7916,0.9072,0.9119
FTNT,0.6953,0.7643,0.7214,0.6122,0.8463,0.9284,1.2894,0.7994,2.1202,1.5983,2.5168,0.7575,2.1544,1.3508,1.3219,1.339,0.8806,1.3014,1.5892,1.2685,1.3273,1.0921,1.6771,1.5439
GLW,1.0612,0.9612,0.9662,0.998,1.0048,0.9836,1.0543,1.069,1.2262,1.1086,1.5253,1.0301,1.4945,1.1512,1.1242,1.1165,0.92,1.1189,1.0644,1.1666,1.0022,1.2153,1.0825,1.1998
GPN,1.2739,1.1142,1.072,1.1277,1.1972,1.0214,1.0439,1.208,0.4601,0.7056,0.2889,1.2963,0.3923,0.679,0.8415,0.8714,1.2269,1.1715,0.8994,1.1659,1.1833,0.9571,0.961,0.8636
HPE,1.182,0.8296,0.8375,0.8833,0.996,1.0916,1.4083,0.9263,1.2446,1.488,1.5682,1.2065,1.7122,1.5658,1.4138,1.3788,0.9292,1.2738,1.4108,1.2977,1.2547,1.037,1.4264,1.4309
HPQ,0.6758,0.4739,0.4343,0.4262,0.4947,0.5466,1.1853,0.4208,1.1516,1.1857,1.3863,0.7099,1.3719,1.0439,0.9785,0.9595,0.4255,0.8008,0.93,0.829,0.8044,0.932,0.7909,0.9255
IBM,0.9148,0.8672,0.8313,0.8629,0.9942,1.0476,1.0202,0.9266,0.9891,1.2495,1.0088,0.9139,1.4596,1.2978,1.6749,1.6576,0.95,1.7609,1.5957,1.7222,1.6742,1.6994,1.6194,1.5767
INTC,0.6032,0.5308,0.468,0.4957,0.7597,0.9026,0.8945,0.4856,1.4254,0.8914,1.452,0.6081,1.0749,0.9106,0.7683,0.7416,0.7181,0.4454,0.6957,0.3798,0.363,0.1877,0.5424,0.6486
INTU,1.06,1.0833,1.0663,1.0546,0.9631,0.9055,0.6403,0.9453,0.3616,0.7424,0.3468,1.0702,0.5904,0.7741,0.8559,0.8985,0.9689,1.1453,0.9455,1.1053,1.026,1.0012,0.9319,0.9055
IPGP,0.8014,0.8196,0.8717,0.9394,1.3067,1.4454,1.6057,1.1893,2.1378,2.7413,3.6223,0.812,3.2286,2.7805,2.6325,2.6069,1.1419,1.9325,2.6263,1.9009,2.0441,1.6206,2.222,2.4272
IT,1.6157,1.4416,1.4638,1.5013,1.5562,1.4815,1.452,1.5437,1.3563,1.1881,0.8561,1.6238,0.8601,1.1925,1.1044,1.0812,1.5729,1.32,1.1372,1.2573,1.2998,1.4677,1.2015,1.1464
JKHY,0.1789,0.0936,0.0321,0.0083,0.1399,0.2349,0.2526,0.0973,0.5444,0.9052,0.8521,0.1833,0.8305,0.8423,0.8401,0.839,0.1567,0.9725,1.0187,0.9192,0.997,1.0212,1.1217,1.014
