0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
EFX,1.2129,1.058,0.9907,0.9653,1.0753,1.0095,0.9678,0.9481,0.742,1.0385,0.6217,1.2526,0.9474,1.0666,1.4514,1.479,1.0652,1.6643,1.5533,1.5545,1.6533,1.6367,1.5024,1.5162
EMR,1.5545,1.5302,1.5565,1.5631,1.64,1.6743,1.728,1.5589,1.6167,1.4791,1.8999,1.5507,1.6668,1.4676,1.4461,1.4029,1.6339,1.329,1.4126,1.3344,1.3084,1.2718,1.3897,1.4251
ETN,0.8797,0.7837,0.8023,0.8216,0.8252,0.9032,1.0816,0.7774,1.0762,1.2736,1.341,0.8593,1.3159,1.2812,1.4572,1.4548,0.7603,1.5289,1.4375,1.4904,1.48,1.4776,1.4669,1.489
EXPD,0.4769,0.5758,0.5574,0.5904,0.6328,0.6938,0.7756,0.6448,1.1249,1.1222,1.6401,0.4872,1.2129,1.1567,1.1743,1.1645,0.5726,1.0172,1.065,1.0345,1.0075,0.9569,1.0364,1.0722
FAST,0.9879,0.9456,0.9368,0.8709,0.8976,0.9433,0.8935,0.9469,1.05,1.4622,1.4667,0.9647,1.5718,1.5671,1.5529,1.5407,0.9186,1.6804,1.529,1.656,1.6873,1.6419,1.7686,1.6338
FBHS,1.3911,1.6704,1.6449,1.7093,1.7845,1.597,2.0337,1.7993,1.7403,1.8376,1.8632,1.376,1.9942,1.8508,1.8598,1.845,1.7173,1.617,1.7023,1.5813,1.6787,1.6441,1.5833,1.732
FDX,0.8278,0.8931,0.8976,1.055,0.6945,0.8337,1.0235,0.833,1.1681,2.1032,1.8191,0.7771,1.767,2.1038,1.8221,1.8502,0.6756,1.83,1.8188,1.7785,1.8415,1.7644,1.9051,1.8508
FLS,1.6947,1.6735,1.775,1.8122,1.9801,1.9344,2.1759,1.8742,1.6181,1.8586,1.5915,1.7124,1.6836,1.9302,1.94,1.9097,1.9491,2.094,1.9304,2.0153,2.104,2.0991,1.9881,1.9609
FTV,1.0688,1.0506,1.0278,1.1327,1.1895,1.282,1.255,1.1992,1.1865,1.3204,1.5443,1.053,1.5405,1.3129,1.3202,1.3353,1.2088,1.3635,1.3076,1.3194,1.311,1.195,1.3917,1.3406
GE,0.9269,0.4537,0.6068,0.6355,0.9207,0.9472,1.8725,0.7268,1.7059,1.6895,1.7855,0.941,2.6105,1.5705,1.4896,1.4596,0.8399,1.2361,1.2652,1.2416,1.2361,1.2671,1.1573,1.2494
GWW,1.0794,0.9605,0.9607,0.961,0.9281,0.8753,0.7953,1.0003,0.8413,0.784,0.8524,1.0467,0.6601,0.8048,1.1141,1.082,0.983,1.4931,1.0765,1.3888,1.3523,1.4073,1.2215,1.1361
HII,0.712,0.678,0.7491,0.7402,1.0588,1.0516,1.4126,0.9383,1.8569,1.3197,1.4341,0.7376,1.348,1.2436,1.3192,1.3173,0.9722,1.2485,1.2974,1.2137,1.2913,1.0068,1.309,1.323
IEX,0.8515,0.8061,0.7702,0.8138,0.8473,0.8025,0.7894,0.7635,1.0509,0.9401,0.9885,0.845,0.9629,0.9519,1.1978,1.2101,0.751,1.3535,1.1664,1.27,1.3126,1.2779,1.172,1.2313
INFO,1.0861,0.9166,0.9487,0.9641,1.0537,1.0032,1.0999,1.0393,0.9077,0.8629,0.5747,1.0292,0.6212,0.8716,0.815,0.8186,1.0365,0.8294,0.8334,0.7878,0.8474,0.7951,0.747,0.8269
IR,1.4987,1.3483,1.3653,1.4321,1.3688,1.2931,1.4815,1.4873,0.8291,1.1121,0.9904,1.4797,0.9807,1.1453,1.1312,1.1361,1.4302,1.182,1.1029,1.202,1.2544,1.2414,1.2051,1.142
ITW,0.8829,0.9502,0.9729,0.9828,1.029,1.089,1.1732,1.0104,1.1535,1.1498,1.443,0.8556,1.2619,1.1859,1.2141,1.2055,1.0187,0.9816,1.1301,0.9733,1.0217,0.9722,1.1106,1.125
J,0.6093,0.4819,0.5083,0.5588,0.5711,0.5874,0.7505,0.4601,0.4041,0,0.6487,0.606,0.7686,0,0,0,0.4746,0,0,0,0,0,0,0
JBHT,0.921,0.9,0.8955,0.8232,0.7531,0.7207,0.6277,0.7541,0.8699,1.092,0.6928,0.9108,0.9526,1.1332,1.072,1.0671,0.7449,1.2167,1.1265,1.1992,1.1094,1.185,1.0277,1.0852
JCI,1.0867,1.1379,1.1771,1.2451,1.149,0.951,1.0658,1.2231,0.4294,0.9439,0.1765,1.0841,0.5114,1.0188,1.1115,1.1118,1.1532,1.4668,1.09,1.459,1.4074,1.464,1.174,1.1423
KSU,0.8277,0.9479,0.9387,0.9501,0.9065,0.8684,1.2585,0.9713,1.2316,1.0365,0.9586,0.85,1.0486,1.0095,1.0933,1.081,0.8948,1.0646,1.0703,0.9539,1.0774,1.0391,1.1229,1.1121
LHX,0.8671,0.6479,0.6391,0.6292,0.5751,0.3896,0.3872,0.531,0.0538,0.3189,-0.7003,0.8549,-0.0685,0.3632,0.6508,0.6671,0.5595,0,0.6231,0,0,0,0,0
LMT,0.7836,0.8585,0.8186,0.8398,0.8367,0.7939,0.7804,0.7915,0.7674,0.9085,0.237,0.7673,0.5091,0.9146,1.1641,1.1714,0.7964,1.4556,1.1775,1.4582,1.5193,1.3315,1.2674,1.2213
LUV,0.8851,0.7222,0.7908,0.8494,0.6912,0.7184,1.4525,0.5596,1.3266,1.567,1.0392,0.888,1.6064,1.6169,1.8135,1.8088,0.65,2.1089,1.87,2.076,2.0635,2.1487,2.0593,1.9353
MAS,1.1105,1.3532,1.3614,1.3483,1.4106,1.3968,1.3414,1.4469,1.4306,1.2335,1.4526,1.1014,1.3391,1.3005,1.4995,1.5038,1.4071,1.4191,1.4268,1.3853,1.3451,1.2517,1.3989,1.4478
MMM,0.7148,0.7082,0.7204,0.7373,0.816,0.9244,0.784,0.707,1.0693,1.052,1.5624,0.7072,1.3279,1.0585,1.0582,1.0514,0.7686,0.983,1.016,1.0217,0.8217,1.0076,1.0082,1.0579
NLSN,1.5335,1.422,1.4341,1.4576,1.4511,1.4942,1.5314,1.4645,1.0476,1.2168,1.1159,1.6233,1.287,1.2758,1.1692,1.1617,1.5367,0.9222,1.1938,0.9158,0.9933,1.0169,1.0866,1.0011
NOC,0.7438,0.7836,0.7514,0.7179,0.6524,0.5618,0.5956,0.6227,0.4539,0.5222,-0.1517,0.7447,0.2989,0.554,0.9424,0.9467,0.5983,1.185,0.9576,1.1486,1.2303,0.998,0.8988,0.9058
NSC,1.2666,1.3104,1.3114,1.366,1.3007,1.2274,1.2342,1.3856,1.0638,1.1939,0.8895,1.2496,1.1061,1.1778,1.1378,1.133,1.3567,1.3523,1.0742,1.3649,1.3764,1.411,1.2963,1.1366
ODFL,0.5328,0.5899,0.6121,0.4942,0.5659,0.6307,0.6436,0.5008,1.0752,1.3502,1.5483,0.5035,1.4324,1.369,1.5844,1.5819,0.4959,1.5663,1.5682,1.4791,1.5205,1.4145,1.4389,1.5049
PCAR,0.7352,0.8837,0.8986,0.9121,0.9836,0.9907,1.0185,1.0314,1.3101,1.1645,1.4012,0.7253,1.4444,1.166,1.3419,1.3256,0.9604,1.3232,1.2959,1.3718,1.3104,1.3593,1.3367,1.311
PH,1.7429,1.6228,1.6611,1.7047,1.7746,1.7792,1.8396,1.6651,1.4965,1.6256,2.0083,1.721,1.7692,1.6286,1.7668,1.7433,1.7795,1.683,1.7231,1.6919,1.6653,1.7296,1.7469,1.7416
PNR,1.1486,1.3543,1.4324,1.4961,1.5269,1.4847,1.3802,1.5928,1.112,1.1617,1.2223,1.1385,1.1666,1.1444,1.0544,1.0363,1.5521,1.0453,0.964,1.0126,0.8683,1.0017,0.9606,0.9894
PWR,0.9356,1.0011,1.1182,1.1686,1.0631,1.1876,1.2607,1.0082,1.2838,1.7327,1.7531,0.9365,1.8618,1.8345,1.6677,1.6355,1.0426,1.4864,1.5517,1.4448,1.4889,1.5697,1.5511,1.5344
RHI,1.7071,1.5514,1.5591,1.6289,1.7767,1.7723,1.5521,1.7209,1.4284,1.215,1.5961,1.6685,1.5987,1.231,1.2969,1.2803,1.8394,1.4376,1.2511,1.414,1.3234,1.3796,1.3796,1.3414
ROK,1.1535,1.3279,1.3813,1.3739,1.5256,1.5964,1.4398,1.4629,1.4968,1.7239,2.0938,1.1253,1.9207,1.6522,1.6198,1.5958,1.5351,1.5339,1.5372,1.5391,1.4897,1.5567,1.611,1.6053
ROL,0.3874,0.5164,0.5519,0.5194,0.307,0.3036,-0.0302,0.5799,-0.2064,0.5781,-0.2814,0.3891,0.0503,0.6609,0.5326,0.5159,0.4011,1.0331,0.5987,1.0001,0.877,0.9174,0.8265,0.6309
ROP,0.9566,0.9119,0.8795,0.8407,0.8683,0.7552,0.8001,0.9138,0.772,0.9611,0.7894,0.9485,0.8063,0.9434,0.9433,0.9662,0.8557,1.0452,0.9254,1.0035,1.0265,0.8692,1.0103,0.9663
RSG,0.796,0.7859,0.7643,0.8104,0.7405,0.5935,0.7301,0.7722,0.2896,0.4281,0.0203,0.7844,0.2227,0.4524,0.412,0.4309,0.7479,0.5996,0.4132,0.6067,0.5806,0.6403,0.4773,0.434
RTX,1.8073,1.5443,1.5604,1.5926,1.638,1.6848,0,1.5546,0,0,0,1.7884,0,0,0,0,1.6984,0,0,0,0,0,0,0
SNA,1.2391,1.2608,1.3312,1.3871,1.4128,1.398,1.3568,1.4395,1.006,1.175,0.9601,1.2085,1.1702,1.2359,1.368,1.3519,1.4491,1.5404,1.3802,1.584,1.55,1.7161,1.4877,1.4071
SWK,1.3283,1.4224,1.459,1.5168,1.6271,1.5837,1.9816,1.6219,1.7744,1.3572,2.0502,1.2941,1.6177,1.3937,1.6337,1.6107,1.6101,1.304,1.4658,1.2859,1.3289,1.2392,1.4472,1.5208
TDG,1.8867,1.9118,1.9459,1.991,1.8578,1.7433,2.1153,1.7772,1.1264,0.9987,0.7025,1.8841,0.9976,1.0052,1.1914,1.2262,1.8977,1.2277,1.2346,1.1611,1.2145,1.2128,1.2893,1.2597
TXT,1.5925,1.4162,1.443,1.4395,1.4804,1.3596,1.9552,1.3937,1.5995,1.8979,1.8807,1.6054,2.0874,1.9484,2.1526,2.1204,1.3718,2.0827,2.0873,2.0486,2.079,1.9733,1.9911,2.0959
UAL,1.8648,1.5467,1.6087,1.7072,1.6794,1.6468,2.5847,1.5506,1.8891,1.4101,1.9243,1.848,1.4875,1.4591,1.2921,1.2811,1.658,1.0862,1.2723,1.0752,1.1468,1.1213,1.2969,1.3402
UNP,1.0636,1.0245,0.9759,1.0328,1.0053,0.9609,0.9621,1.0319,1.0535,1.1818,1.0096,1.0541,1.2392,1.1689,1.2069,1.2163,1.061,1.363,1.118,1.3218,1.3467,1.3193,1.2747,1.1186
UPS,0.6419,0.6609,0.6093,0.6266,0.3627,0.4504,0.5336,0.5279,1.2397,1.2972,1.2842,0.6226,1.1089,1.3135,1.3233,1.3291,0.3005,1.4067,1.3419,1.375,1.3038,1.5334,1.3288,1.3811
URI,1.6113,1.5275,1.5551,1.5787,1.7694,1.9287,2.1765,1.6354,2.4322,2.5391,3.6472,1.5844,3.2791,2.4776,2.6227,2.5912,1.6882,2.1528,2.542,2.1148,2.3384,2.0005,2.4108,2.5095
VRSK,0.7463,0.7201,0.6873,0.7052,0.675,0.5658,0.557,0.7295,0.3411,0.7373,0.1699,0.7484,0.3728,0.7572,0.7284,0.7498,0.6762,0.9041,0.8181,0.8735,0.9146,0.785,0.8642,0.8023
WAB,1.6473,1.575,1.5807,1.5931,1.726,1.7573,1.8899,1.6502,1.6697,1.8828,2.2205,1.632,1.5487,1.8312,1.976,1.9623,1.6442,1.9489,1.8903,1.891,1.9038,1.7849,1.8456,1.9385
WM,0.8753,0.8601,0.8453,0.8891,0.8762,0.7424,0.8116,0.8591,0.4887,0.4737,0.1413,0.8619,0.3524,0.506,0.507,0.5312,0.8632,0.6766,0.5116,0.6944,0.6527,0.6814,0.5721,0.561
XYL,0.7989,0.7901,0.8155,0.8982,0.8677,1.0121,1.1295,0.8509,1.124,1.156,1.4566,0.8064,1.3425,1.2105,1.4389,1.4335,0.758,1.3208,1.3736,1.2475,1.3119,1.1218,1.4109,1.4445
AFL,1.3357,1.0143,1.0172,1.0915,1.1504,1.0198,1.1157,1.0855,0.9046,0.3251,0.3881,1.3342,0.3905,0.327,0.4985,0.4888,1.1201,0.5635,0.4336,0.5754,0.5417,0.5342,0.442,0.4812
AIG,1.5646,1.4294,1.5646,1.6344,1.7794,1.3483,1.8127,1.8011,0.8067,0.5966,0.1128,1.5519,0.325,0.6451,1.1115,1.0908,1.8308,1.2895,0.9857,1.2791,1.3845,1.3512,1.0263,0.9857
AIZ,0.6153,0.6793,0.7075,0.7408,0.5616,0.4983,0.6773,0.5399,0.2429,0.4469,-0.1466,0.6309,0.0185,0.4227,0.6304,0.6319,0.5285,0.9158,0.6225,0.8518,0.8766,0.8695,0.6187,0.6443
AJG,0.6683,0.6243,0.616,0.6398,0.6567,0.4466,0.8632,0.7218,0.4791,0.3897,0.367,0.6813,0.2896,0.4012,0.3851,0.3978,0.6721,0.3636,0.3712,0.3774,0.415,0.2921,0.4242,0.4122
ALL,0.8344,0.7083,0.6927,0.7444,0.8852,0.9197,1.0087,0.8057,0.9874,0.8315,0.8033,0.8537,0.7789,0.801,0.7656,0.749,0.8684,0.7092,0.752,0.6598,0.7452,0.6424,0.7376,0.7528
AMP,1.407,1.4477,1.4961,1.5319,1.6664,1.4418,1.7933,1.6849,1.5262,1.8565,1.3723,1.4052,1.6716,1.8396,1.8545,1.812,1.7536,1.9061,1.693,1.9071,1.9935,1.893,1.8279,1.6874
AON,0.9022,0.8911,0.8413,0.911,0.973,0.8077,1.0599,0.9692,0.579,0.8931,0.5097,0.9018,0.596,0.8914,0.7454,0.7613,0.9539,0.8051,0.7509,0.8077,0.8184,0.7355,0.7706,0.7603
AXP,1.4217,1.1415,1.1207,1.1768,1.1896,1.086,1.3671,1.1173,1.154,1.1048,0.7619,1.4104,0.8315,1.1396,1.0441,1.0614,1.168,1.101,1.0573,1.1299,1.1378,1.1079,1.0607,1.0384
BAC,1.3868,1.3151,1.3492,1.3637,1.4862,1.5622,1.8821,1.4504,1.8743,1.7014,2.008,1.3998,1.9326,1.7028,1.5464,1.5291,1.4664,1.2895,1.439,1.3255,1.3663,1.2643,1.474,1.4687
BEN,1.2519,1.1478,1.1337,1.1813,1.384,1.3309,1.4086,1.3451,1.4524,1.1719,1.6569,1.3018,1.271,1.2255,1.0194,0.982,1.3612,0.6,0.7624,0.5965,0.6183,0.5579,0.7187,0.8064
BK,0.9949,0.9243,0.9673,0.9543,1.078,1.1895,1.2153,1.0152,1.3693,1.2053,1.5266,1.0175,1.5015,1.2113,1.125,1.0987,1.1186,0.8847,1.005,0.9686,0.8538,0.9399,1.0094,0.9787
BLK,0.838,0.7641,0.8042,0.7721,0.9652,1.0945,1.2528,0.8929,1.9336,1.434,2.1749,0.8334,1.8175,1.4229,1.465,1.4484,0.8967,0.934,1.325,0.9038,1.0633,0.7952,1.1866,1.3073
C,1.893,1.6348,1.6777,1.6237,1.8027,1.8259,2.206,1.7063,1.9508,2.1308,1.9647,1.9158,2.1935,2.1483,1.9733,1.9567,1.783,1.7994,1.8661,1.8613,1.8886,1.8705,1.8847,1.8783
CB,0.7706,0.6575,0.747,0.7371,0.7285,0.5327,0.8873,0.7454,0.2665,0.1782,0.0334,0.7762,0.0375,0.2162,0.401,0.3949,0.7689,0.4928,0.3616,0.5012,0.5067,0.5968,0.4678,0.4136
CBOE,1.0799,1.0345,1.0259,1.055,0.9483,0.741,0.7384,0.9333,-0.0602,-0.0663,-0.6854,1.0807,-0.7826,-0.1078,-0.4608,-0.4426,1.0298,-0.4003,-0.3553,-0.4233,-0.3139,-0.2773,-0.3553,-0.4101
CFG,1.8389,1.8646,1.9645,2.051,2.1747,2.0865,2.3467,2.1348,1.7847,1.8408,1.9071,1.8499,1.8461,1.7975,1.533,1.5211,2.227,1.3791,1.4733,1.3891,1.4843,1.3018,1.4645,1.4574
CINF,0.6238,0.5375,0.5091,0.5455,0.3088,0.2853,0.9648,0.4674,0.5938,0.3949,0.1722,0.6802,0.1806,0.4888,0.4562,0.4565,0.2556,0.4766,0.4473,0.4814,0.5588,0.4623,0.5239,0.5074
CMA,1.5923,1.768,1.9305,2.0337,2.1576,2.0762,2.2915,2.1572,1.7103,1.6741,2.1251,1.6317,2.032,1.6325,1.5235,1.4913,2.2173,1.388,1.4012,1.3805,1.4358,1.187,1.4561,1.4301
CME,0.8323,0.666,0.6293,0.6344,0.4884,0.3454,0.4996,0.477,0.0042,-0.3409,-0.6786,0.8476,-0.6212,-0.3194,-0.3776,-0.362,0.4685,-0.239,-0.215,-0.1782,-0.1459,-0.2505,-0.268,-0.2426
COF,1.9202,2.0006,2.0571,2.2073,2.2452,2.1455,2.1966,2.2249,1.3742,1.3322,1.355,1.9552,1.1405,1.3019,1.2031,1.1889,2.2976,1.1766,1.1883,1.1582,1.2862,1.1336,1.2225,1.1817
DFS,1.8113,1.8652,1.9803,2.1847,2.2086,2.0318,2.2862,2.2093,1.4547,1.631,1.5307,1.8607,1.4788,1.6335,1.5868,1.5939,2.3113,1.6291,1.5616,1.6772,1.7236,1.575,1.6442,1.5075
FITB,1.6288,1.7899,1.8984,2.0338,2.1267,2.0496,2.1455,2.1301,1.6015,1.5555,1.5757,1.647,1.5659,1.5766,1.3664,1.3572,2.1891,1.1072,1.2546,1.1141,1.2552,1.0411,1.2767,1.2413
FRC,1.0492,1.2457,1.3662,1.3817,1.4739,1.4906,1.2427,1.5482,1.1474,1.251,1.2708,1.0765,1.2466,1.2823,1.1504,1.1259,1.5736,1.2236,1.0702,1.2154,1.2259,1.0771,1.1946,1.0629
GL,1.1806,1.1457,1.189,1.2228,1.2064,1.2243,1.3199,1.238,0.9906,1.0974,0.6525,1.1756,0.8444,1.0877,0.9668,0.9467,1.216,0,0,0,0,0,0,0
GS,1.4931,1.3964,1.3915,1.4405,1.6071,1.609,1.7316,1.5076,1.716,1.6186,1.5673,1.527,1.8166,1.5913,1.2812,1.2804,1.5815,1.0141,1.2293,1.0111,1.0691,0.9751,1.1568,1.2499
HBAN,1.2601,1.2205,1.3418,1.4183,1.5226,1.549,1.8499,1.4711,1.4219,1.6291,1.7313,1.2688,1.5599,1.6293,1.4445,1.4172,1.4941,1.3266,1.4044,1.3408,1.3949,1.2431,1.3791,1.4067
HIG,1.3201,1.2897,1.3566,1.3639,1.3554,1.2082,1.4826,1.4082,0.9246,0.3308,0.4149,1.3543,0.3782,0.2672,0.5072,0.501,1.3623,0.4491,0.4557,0.4523,0.5013,0.4962,0.4144,0.4585
ICE,0.9222,0.8932,0.8747,0.8561,0.7514,0.6491,0.6499,0.7496,0.5333,0.3743,-0.0149,0.9466,0.0394,0.4111,0.3133,0.3262,0.7392,0.3101,0.3734,0.3153,0.3669,0.3343,0.337,0.3583
IVZ,1.1436,0.9348,1.0481,1.231,1.3166,1.2914,2.0803,1.3248,1.6841,1.6462,1.8134,1.1538,1.6418,1.6123,1.4062,1.3756,1.418,1.0813,1.189,1.023,1.2195,0.93,1.2295,1.199
JPM,1.1963,1.061,1.1164,1.1383,1.1843,1.2095,1.6487,1.172,1.5412,1.2354,1.4387,1.2086,1.1763,1.2319,1.0747,1.0548,1.1853,0.8722,0.9984,0.8991,1.0156,0.8689,1.0876,1.0465
KEY,1.5243,1.4563,1.5523,1.614,1.753,1.7114,2.1187,1.6641,1.6581,1.7475,1.8028,1.5285,1.6179,1.7277,1.6203,1.5978,1.7387,1.5217,1.548,1.5661,1.6135,1.4397,1.537,1.5644
L,1.0358,0.8335,0.8628,0.897,0.9669,0.8782,1.3076,0.9804,0.9881,0.6471,0.7658,1.0533,0.7138,0.6369,0.7232,0.7,0.9362,0.5884,0.6063,0.5592,0.6601,0.6107,0.6012,0.6314
LNC,2.3691,2.1938,2.3313,2.3389,2.6084,2.4954,2.3809,2.582,1.9078,1.9267,2.065,2.37,2.0207,1.9458,1.8647,1.8186,2.6573,1.5865,1.6294,1.5836,1.6978,1.5495,1.7214,1.6648
MCO,0.8857,0.9566,0.9105,0.9176,0.9714,0.9833,1.0169,0.9432,0.9793,1.2474,0.9721,0.8775,1.1115,1.3001,1.4115,1.4463,0.9953,1.5255,1.445,1.5198,1.5479,1.3536,1.4682,1.395
MET,1.5494,1.4452,1.4911,1.5392,1.6395,1.5006,1.5878,1.6269,1.1439,0.9388,0.857,1.5382,0.9706,0.9217,1.0603,1.0429,1.6544,1.0842,0.9609,1.0748,1.1482,1.114,0.9702,0.9722
MKTX,0.6714,0.8882,0.9652,0.9886,1.0637,0.9201,0.2535,1.0208,0.4181,0.2242,0.0272,0.6846,-0.2359,0.1855,-0.1523,-0.0614,1.0822,-0.1782,-0.0319,-0.2324,-0.0649,-0.4083,-0.1769,-0.0799
MMC,1.0051,1.0259,0.9872,1.0236,1.0463,0.9126,0.8644,1.1044,0.475,0.762,0.2687,0.998,0.5052,0.7647,0.5933,0.6025,1.0805,0.7415,0.5933,0.7399,0.7033,0.6989,0.6168,0.5897
MS,1.6495,1.4998,1.5309,1.5147,1.602,1.6239,1.8943,1.5907,1.9104,1.4464,1.8988,1.6629,1.6551,1.413,1.1563,1.1495,1.6627,0.6917,1.0691,0.685,0.8483,0.647,1.0758,1.1001
MSCI,0.5691,0.4567,0.4342,0.3781,0.4243,0.501,0.4832,0.456,0.5247,1.0799,0.8381,0.5865,1.1027,1.0464,1.2588,1.3026,0.3864,1.4831,1.3527,1.399,1.5402,1.3126,1.3902,1.322
MTB,1.151,1.1127,1.2324,1.213,1.342,1.3255,1.6506,1.3113,1.4417,1.4853,1.3005,1.1766,1.4934,1.4741,1.2042,1.178,1.324,1.1021,1.1219,1.1089,1.1635,1.0261,1.1388,1.1198
NDAQ,0.8475,0.9545,0.9504,0.8949,0.894,0.8454,0.7616,0.9309,0.853,0.8119,0.4515,0.8467,0.6145,0.8066,0.675,0.6828,0.9016,0.7551,0.7343,0.6779,0.7871,0.656,0.6887,0.7179
NTRS,0.8944,0.7272,0.7619,0.7651,0.8648,0.98,1.3199,0.8087,1.589,1.5008,1.8312,0.8912,1.4538,1.4872,1.3824,1.3607,0.8543,1.1092,1.2695,1.097,1.1867,0.9913,1.3121,1.279
PBCT,1.0424,0.9209,0.9956,1.0384,1.2765,1.405,1.4656,1.1586,1.4423,1.6601,1.8333,1.0499,1.8309,1.7071,1.5662,1.5382,1.2403,1.4037,1.4561,1.4045,1.425,1.3122,1.4431,1.4448
PFG,1.672,1.499,1.5174,1.5619,1.722,1.634,1.8788,1.6597,1.6804,1.4581,1.6909,1.6576,1.6786,1.4904,1.7325,1.7118,1.702,1.4895,1.5799,1.4609,1.595,1.4589,1.5966,1.6142
PGR,0.2152,0.4078,0.3693,0.363,0.2832,0.2512,0.2943,0.4042,0.5459,0.8428,0.3327,0.2584,0.7385,0.8135,0.7748,0.7767,0.3068,1.026,0.7954,0.9662,1.0551,0.7532,0.9138,0.7728
PNC,1.4143,1.2599,1.3188,1.3799,1.4968,1.4328,1.7342,1.4422,1.6465,1.2991,1.5142,1.4259,1.1932,1.3145,1.2001,1.1737,1.4746,0.9922,1.0816,0.9948,1.1048,0.9141,1.0952,1.1081
PRU,1.6876,1.6456,1.6972,1.7261,1.8535,1.8559,2.0808,1.8245,1.9818,1.7465,2.1365,1.6851,2.0373,1.7629,1.6178,1.5774,1.8463,1.1698,1.3957,1.1686,1.3071,1.2038,1.4365,1.4216
RE,0.8988,0.7918,0.8143,0.7631,0.7354,0.4466,1.0791,0.8188,0.561,0.1441,0.1035,0.9033,-0.0108,0.1132,0.2587,0.213,0.7923,0.2344,0.1796,0.1492,0.3201,0.0415,0.1752,0.1335
RF,1.468,1.4936,1.625,1.7265,1.8425,1.8166,1.9807,1.7579,1.6201,1.7254,1.7978,1.4728,1.701,1.7355,1.5867,1.5556,1.8519,1.4691,1.5393,1.481,1.5475,1.3244,1.5356,1.5378
RJF,1.111,1.0062,1.0613,1.0823,1.0354,1.0288,1.4478,1.0357,1.1596,1.0246,1.2129,1.118,1.2034,0.9951,1.1996,1.1821,1.0631,1.1934,1.1815,1.1917,1.3125,1.1781,1.2782,1.1881
SCHW,0.9695,0.8974,0.9935,1.0634,1.0582,1.1379,1.2629,1.087,1.2265,1.1305,1.2243,0.9952,1.323,0.9418,0.8969,0.8601,1.1476,0.8109,0.7911,0.8047,0.8944,0.7951,0.9031,0.7719
SIVB,1.6943,1.7515,1.9009,1.9162,2.0428,2.102,2.1573,1.9933,2.2591,2.6506,2.7367,1.7044,2.8285,2.6943,2.7025,2.679,2.0544,2.6315,2.6131,2.6278,2.7341,2.5402,2.6921,2.6147
SPGI,0.9672,1.0314,0.9736,0.9819,0.9708,0.9288,0.7498,0.9774,0.7649,0.8028,0.4003,0.9242,0.6736,0.8216,0.8758,0.9113,0.9967,1.0044,0.9539,0.9785,1.0037,0.8424,0.9137,0.9041
STT,1.3803,1.3369,1.3708,1.2949,1.3881,1.6098,1.7067,1.4073,1.7621,1.6565,2.0415,1.3756,1.8971,1.5866,1.6399,1.5748,1.488,1.3839,1.5126,1.3856,1.4038,1.3296,1.5324,1.4606
SYF,1.9736,1.9713,1.9988,2.1589,2.1177,1.9375,1.9972,2.1574,0.9953,1.5017,1.064,2.0094,1.6348,1.4798,1.4112,1.3986,2.2331,1.5194,1.3735,1.5651,1.5533,1.5224,1.3558,1.2388
TFC,1.4164,1.4909,1.5939,1.6626,1.7223,1.7096,1.7924,1.7043,1.2331,0,1.3462,1.413,1.3319,0,0,0,1.7772,0,0,0,0,0,0,0
TROW,1.1782,1.2115,1.2191,1.1905,1.258,1.264,1.2736,1.294,1.2201,0.8201,1.0509,1.1858,0.8146,0.7964,0.9377,0.9289,1.2589,0.7852,0.8802,0.7869,0.8547,0.6625,0.7942,0.8778
TRV,0.6799,0.6895,0.768,0.7654,0.7437,0.584,0.7722,0.7465,0.5023,0.5053,0.2899,0.7055,0.3113,0.491,0.5628,0.564,0.7612,0.7048,0.5521,0.6721,0.7173,0.6761,0.6251,0.5825
UNM,1.7428,1.6224,1.7067,1.7184,1.78,1.8959,2.0923,1.8199,1.8074,2.1338,2.2871,1.7462,2.4096,2.0691,1.8394,1.7776,1.8145,1.3825,1.5678,1.4098,1.4743,1.3033,1.6773,1.6075
USB,0.9634,0.9357,1.0297,1.1018,1.1891,1.1747,1.5563,1.1694,1.3226,1.3617,1.2186,0.9924,1.1953,1.3652,1.1595,1.1456,1.205,1.0836,1.0833,1.1358,1.1616,1.1729,1.141,1.0864
WFC,1.3104,0.9882,1.0002,1.0683,1.1468,1.1735,1.5811,1.0427,1.1558,1.1613,1.0928,1.3495,0.9298,1.1378,0.8987,0.8691,1.103,0.9081,0.8866,0.9908,0.8775,1.0668,0.8609,0.8958
WLTW,0.8063,0.7277,0.6579,0.7064,0.7989,0.7134,0.9096,0.7626,1.0171,0.7499,0.8531,0.7992,0.8563,0.7621,0.6748,0.6977,0.741,0.4402,0.5973,0.4714,0.4535,0.4364,0.535,0.6089
WRB,0.8885,0.8938,0.9039,0.9466,0.9358,0.7931,1.1105,0.9448,0.5923,0.507,0.2889,0.8868,0.2858,0.5651,0.6714,0.6802,0.9102,0.7304,0.6763,0.6606,0.7831,0.6676,0.6693,0.673
ZION,1.571,1.4828,1.6031,1.6078,1.7785,1.756,1.9239,1.7094,1.5367,1.747,1.8305,1.6004,1.8402,1.7756,1.5674,1.5402,1.8186,1.4484,1.5162,1.4704,1.5101,1.3202,1.5222,1.4821
